MPRN,Meter Serial Number,Read Value,Read Type,Read Date and End Time
10000000000,000000000012345678,0.8590,Active Import Interval (kWh),25-11-2025 01:30
10000000000,000000000012345678,0.1200,Active Export Interval (kWh),25-11-2025 01:30
10000000000,000000000012345678,0.8990,Active Import Interval (kWh),25-11-2025 01:00
10000000000,000000000012345678,0.0500,Active Export Interval (kWh),25-11-2025 01:00
10000000000,000000000012345678,0.0100,Active Export Interval (kWh),25-11-2025 00:30
10000000000,000000000012345678,0.3050,Active Import Interval (kWh),25-11-2025 00:30
10000000000,000000000012345678,0.2410,Active Import Interval (kWh),25-11-2025 00:00
10000000000,000000000012345678,0.0000,Active Export Interval (kWh),25-11-2025 00:00
10000000000,000000000012345678,0.0000,Active Export Interval (kWh),24-11-2025 23:30
10000000000,000000000012345678,0.2890,Active Import Interval (kWh),24-11-2025 23:30
10000000000,000000000012345678,0.0200,Active Export Interval (kWh),24-11-2025 23:00
